+--------+--------------------+-----------------+-------+------------------+
| Graph6 | Number of vertexes | Number of edges | Girth | Chromatic number |
| G?Bevk |         8          |        26       |   3   |        3         |
| G?Beu{ |         8          |        26       |   3   |        3         |
| G?Bet{ |         8          |        26       |   3   |        3         |
| G?Bev{ |         8          |        28       |   3   |        3         |
| G?BfNo |         8          |        24       |   3   |        3         |
| G?BfNw |         8          |        26       |   3   |        3         |
| G?BfM{ |         8          |        26       |   3   |        4         |
| G?BfN{ |         8          |        28       |   3   |        4         |
| G?Beno |         8          |        24       |   3   |        3         |
| G?BenW |         8          |        24       |   3   |        3         |
| G?Bemw |         8          |        24       |   3   |        3         |
| G?Belw |         8          |        24       |   3   |        3         |
| G?Bem[ |         8          |        24       |   3   |        4         |
| G?Benw |         8          |        26       |   3   |        3         |
| G?Ben[ |         8          |        26       |   3   |        4         |
| G?Bel{ |         8          |        26       |   3   |        4         |
| G?Ben{ |         8          |        28       |   3   |        4         |
| G?Bc~o |         8          |        24       |   3   |        3         |
| G?Bc~g |         8          |        24       |   3   |        3         |
| G?Bc}w |         8          |        24       |   3   |        3         |
| G?Bczw |         8          |        24       |   3   |        3         |
| G?Bc~K |         8          |        24       |   3   |        4         |
| G?Bc}k |         8          |        24       |   3   |        4         |
| G?Bczk |         8          |        24       |   3   |        3         |
| G?Bc~w |         8          |        26       |   3   |        3         |
| G?Bc~k |         8          |        26       |   3   |        4         |
| G?Bcz{ |         8          |        26       |   3   |        3         |
| G?Bc~{ |         8          |        28       |   3   |        4         |
| G?Bfvo |         8          |        26       |   4   |        2         |
| G?Bfvw |         8          |        28       |   3   |        3         |
| G?Bfvs |         8          |        28       |   3   |        3         |
| G?Bfv{ |         8          |        30       |   3   |        3         |
| G?Bfno |         8          |        26       |   3   |        3         |
| G?Bfnw |         8          |        28       |   3   |        3         |
| G?Bfns |         8          |        28       |   3   |        3         |
| G?Bfn[ |         8          |        28       |   3   |        4         |
| G?Bfn{ |         8          |        30       |   3   |        4         |
| G?Be~o |         8          |        26       |   3   |        3         |
| G?Be~w |         8          |        28       |   3   |        3         |
| G?Be~s |         8          |        28       |   3   |        3         |
| G?Be~k |         8          |        28       |   3   |        4         |
| G?Be}{ |         8          |        28       |   3   |        4         |
| G?Be|{ |         8          |        28       |   3   |        4         |
| G?Be~{ |         8          |        30       |   3   |        4         |
| G?Bf~w |         8          |        30       |   3   |        3         |
| G?Bf~{ |         8          |        32       |   3   |        4         |
| G?BvfO |         8          |        24       |   4   |        2         |
| G?Bvfo |         8          |        26       |   4   |        2         |
| G?Bve[ |         8          |        26       |   3   |        3         |
| G?Bvfw |         8          |        28       |   3   |        3         |
| G?Bvf[ |         8          |        28       |   3   |        3         |
| G?Bvf{ |         8          |        30       |   3   |        3         |
| G?BvUo |         8          |        24       |   4   |        2         |
| G?BvVo |         8          |        26       |   4   |        2         |
| G?BvVg |         8          |        26       |   3   |        3         |
| G?BvVW |         8          |        26       |   3   |        3         |
| G?BvUw |         8          |        26       |   3   |        3         |
| G?BvVK |         8          |        26       |   3   |        3         |
| G?BvUk |         8          |        26       |   3   |        3         |
| G?BvS{ |         8          |        26       |   3   |        3         |
| G?BvVw |         8          |        28       |   3   |        3         |
| G?BvVk |         8          |        28       |   3   |        3         |
| G?BvU{ |         8          |        28       |   3   |        3         |
| G?BvV{ |         8          |        30       |   3   |        3         |
| G?Bvvo |         8          |        28       |   4   |        2         |
| G?Bvvg |         8          |        28       |   3   |        3         |
| G?BvvW |         8          |        28       |   3   |        3         |
| G?Bvvw |         8          |        30       |   3   |        3         |
| G?Bvvs |         8          |        30       |   3   |        3         |
| G?Bvv{ |         8          |        32       |   3   |        3         |
| G?Bvnw |         8          |        30       |   3   |        3         |
| G?Bvn[ |         8          |        30       |   3   |        4         |
| G?Bvn{ |         8          |        32       |   3   |        4         |
| G?Bv^w |         8          |        30       |   3   |        3         |
| G?Bv]{ |         8          |        30       |   3   |        4         |
| G?Bv^{ |         8          |        32       |   3   |        4         |
| G?Bv~{ |         8          |        34       |   3   |        4         |
| G?B~vo |         8          |        30       |   4   |        2         |
| G?B~vw |         8          |        32       |   3   |        3         |
| G?B~vk |         8          |        32       |   3   |        3         |
| G?B~v{ |         8          |        34       |   3   |        3         |
| G?B~~{ |         8          |        36       |   3   |        4         |
| G?`@F_ |         8          |        14       |  inf  |        2         |
| G?`@Fo |         8          |        16       |   3   |        3         |
| G?`@Fw |         8          |        18       |   3   |        3         |
| G?`@F{ |         8          |        20       |   3   |        3         |
| G?`DE_ |         8          |        14       |  inf  |        2         |
