+--------+--------------------+-----------------+-------+------------------+
| Graph6 | Number of vertexes | Number of edges | Girth | Chromatic number |
| G?`DB_ |         8          |        14       |  inf  |        2         |
| G?`DF_ |         8          |        16       |   4   |        2         |
| G?`DEo |         8          |        16       |   3   |        3         |
| G?`DBo |         8          |        16       |   5   |        3         |
| G?`DEg |         8          |        16       |   3   |        3         |
| G?`DBg |         8          |        16       |   3   |        3         |
| G?`DEc |         8          |        16       |   3   |        3         |
| G?`DFo |         8          |        18       |   3   |        3         |
| G?`DFg |         8          |        18       |   3   |        3         |
| G?`DEw |         8          |        18       |   3   |        3         |
| G?`DBw |         8          |        18       |   3   |        3         |
| G?`DFc |         8          |        18       |   3   |        3         |
| G?`DEk |         8          |        18       |   3   |        3         |
| G?`DFw |         8          |        20       |   3   |        3         |
| G?`DFs |         8          |        20       |   3   |        3         |
| G?`DFk |         8          |        20       |   3   |        3         |
| G?`DF{ |         8          |        22       |   3   |        3         |
| G?`@f? |         8          |        14       |  inf  |        2         |
| G?`@eC |         8          |        14       |  inf  |        2         |
| G?`@f_ |         8          |        16       |   4   |        2         |
| G?`@fO |         8          |        16       |   3   |        3         |
| G?`@fC |         8          |        16       |   3   |        3         |
| G?`@eS |         8          |        16       |   3   |        3         |
| G?`@fo |         8          |        18       |   3   |        3         |
| G?`@fW |         8          |        18       |   3   |        3         |
| G?`@fc |         8          |        18       |   3   |        3         |
| G?`@fS |         8          |        18       |   3   |        3         |
| G?`@e[ |         8          |        18       |   3   |        3         |
| G?`@fw |         8          |        20       |   3   |        3         |
| G?`@fs |         8          |        20       |   3   |        3         |
| G?`@f[ |         8          |        20       |   3   |        3         |
| G?`@f{ |         8          |        22       |   3   |        3         |
| G?`CV_ |         8          |        16       |   3   |        3         |
| G?`CVo |         8          |        18       |   3   |        3         |
| G?`CVg |         8          |        18       |   3   |        3         |
| G?`CVw |         8          |        20       |   3   |        3         |
| G?`CVs |         8          |        20       |   3   |        4         |
| G?`CV{ |         8          |        22       |   3   |        4         |
| G?`FE_ |         8          |        16       |   4   |        2         |
| G?`F?w |         8          |        16       |   6   |        2         |
| G?`FF_ |         8          |        18       |   4   |        2         |
| G?`FEo |         8          |        18       |   3   |        3         |
| G?`FDo |         8          |        18       |   3   |        3         |
| G?`FBo |         8          |        18       |   4   |        3         |
| G?`FCw |         8          |        18       |   3   |        3         |
